CH 1	CH 2	CH 3	DE 1	DE 2	DE 3	EN 1	EN 2	EN 3	
du chasch			du kannst			you are able to	you can		
er chan	er cha		er kann			he is able to	he can		
mir chönd			wir können			we are able to	we can		
ich ha chöne									
ich dörf	ich törf	ich döf	ich darf			I am allowed to			
du dörsch	du törfsch		du darfst			you are allowed to			
sie dörf			sie darf			she is allowed to			
mir dörfed			wir dürfen			we are allowed to			
ich ha dörfe			ich habe dürfen			I was allowed to			
gaa	gah		gehen			to go			
ich gaa	ich gah		ich gehe			I go			
du gaasch	du gahsch		du gehst			you go			
er gaat	er gaht		er geht			he goes			
mir göhnd			wir gehen			we go			
gsee	gseh		sehen			to see			
ich gsee	ich gseh		ich sehe			I see			
du gseesch	du gsehsch		du siehst			you see			
er gseet	er gseht		er sieht			he sees			
mir gsend	mir gsänd		wir sehen			we see			
ich ha gsee	ich ha gseh		wir haben gesehen			we saw			
ghöre			horen			to hear (passively)			
gää	gäh		geben			to give			
ich gib			ich gebe			I give			
du gisch			du gibst			you give			
sie git			sie gibt			she gives			
mir gäbed	mir gebed	mir gähnd	wir geben			we give			
ich ha gää			ich habe gegeben			I gave			
ha	haa		haben			to have			
ich ha			ich habe			I have			
du hesch	du häsch		du hast			you have			
er het	er hät		er hat			he has			
mir hend	mir händ		wir haben			we have			
ich ha gha			ich habe gehabt			I had			
lägge			legen			to lay (actively) down			
ich legge			ich lege			I lay (something) down			
du laisch			du legst			you lay (something) down			
er lait			er legt			he lays (something) down			
mir legged			wir legen			we lay (something) down			
ich ha gleit			ich ha gelegt			I laid (something) down			
müese	müäse		müssen			to have to			
ich mues	ich muäs	ich muen	ich muss			I have to	I must		
du muesch	du muäsch		du musst			you have to	you must		
sie mues	sie muäs	sie muen	sie muss			she has to	she must		
mir müend	mir müänd		wir müssen			we have to	we must		
ich ha müese	ich ha müäse		ich habe müssen			I had to			
nää			nehmen			to take			
ich nää			ich nehme			I take			
du nimmsch			du nimmst			you take			
er nimmt			er nimmt			he takes			
mir nämed			wir nehmen			we take			
ich ha gnaa	ich ha gnoo		ich habe genommen			I took			
säge			sagen			to say			
ich säge			ich sage			I say			
du saisch			du sagst			you say			
er sait			er sagt			he says			
mir säged			wir sagen			we say			
ich ha gsait			ich habe gesagt			I said			
schtaa	staa		stehen			to stand			
ich schtaa			ich stehe			I stand			
du schtaasch			du stehst			you stand			
er schtaat			er steht			he stands			
mir schtönd			wir stehen			we stand			
ich bin gschtande			ich bin gestanden			I stood			
wüsse			wissen			to know (something)			
ich waiss			ich weiss			I know (something)			
du waisch			du weisst			you know (something)			
sie waiss			sie weisst			she knows (something)			
mir wüssed			wir wissen			we know (something)			
ich ha gwüsst			ich habe gewusst			I knew (something)			
welle			wollen			to want			
ich wett			ich will			I want			
du wetsch	du wotsch	du wötsch	du willst			you want			
er wett			er will			he wants			
mir wend	mir wänd		wir wollen			we want			
ich ha welle			ich haben wollen			I wanted			
ich sölle			ich solle						
du söllsch			du sollst						
er söll			er soll						
mir sölled			wir sollen						
ich sött			ich sollte			I ought to	I should		
du söttsch			du solltest			you ought to	you should		
sie sött			sie sollte			she ought to	she should		
mir sötted			wir sollten			we ought to	we should		
aalüte						to call (on the phone)			
poschte			einkaufen			to shop			
pfuuse	schlafe		schlafen			to sleep			
luege			sehen	gücken		to look			
löse			hören			to listen			
schaffe			arbeiten			to work			
laufe			laufen	spazieren		to walk			
ränne			rennen			to run			
rede			sprechen			to speak (a language)			
schmöcke			schmecken	riechen		to taste	to smell		
tschuute			Fussball spielen			to play soccer	to play football		
zügle			umziehen			to move (houses)			
chrampfe						to work  hard			
übercho	überchoo		erhalten	bekommen		to receive			
Sport triibe						to play sports			
härcho vo			kommen von			to come from			
laa			lassen			to let			
abziä						to take off (clothes)			
gumpe			springen			to jump			
bädele	bedele					to bathe (leisurely)			
sünnele						to sunbathe			
zmörgele			frühstücken			to eat breakfast (leisurely)			
käffele						to drink coffee (leisurely)			
null			null			zero			
ais	eis		eins			one			
zwai	zwei		zwei			two			
drüü			drei			three			
viär	vier		vier			four			
foif			fünf			five			
sächs			sechs			six			
sibe			sieben			seven			
acht			acht			eight			
nüün			neun			nine			
zä			zehn			ten			
elf			elf			eleven			
zwölf			zwölf			twelve			
drizä			dreizehn			thirteen			
viärzä	vierzä		vierzehn			fourteen			
füfzä			fünfzeh			fifteen			
sächzä			sechzehn			sixteen			
sibezä			siebzehn			seventeen			
achzä			achtzehn			eighteen			
nünzä			neunzehn			nineteen			
zwänzg			zwanzig			twenty			
ainezwänzg			einundzwanzig			twenty-one			
drüüezwänzg			dreiundzwanzig			twenty-two			
foifezwänzg			fünfundzwanzig			twenty-five			
driisg			dreissig			thirty			
viärzg	vierzg		vierzig			forty			
füfzg			fünfzig			fifty			
sächzg			sechzig			sixty			
sibezg			siebzig			seventy			
achzg			achtzig			eighty			
nüünedachzg			neunzig			eighty-one			
hundert			hundert			one hundred			
tuusig			eintausend			one thousand			
Ich bin drüü			Ich bin drei Jahre alt.			I am three.	I am three years old.		
Ich bin vieri			Ich bin vier Jahre alt.			I am four.	I am four years old.		
s Ais	s Eis					the one (tram)			
s Zwai						the two (tram)			
s Drüü						the three (tram)			
s Viäri	s Vieri					the four (tram)			
s Foifi						the five (tram)			
s Sächsi						the six (tram)			
s Sibeni						the seven (tram)			
s Achti						the eight (tram)			
s Nüüni	s Nüni					the nine (tram)			
s Zäni						the ten (tram)			
s Zwänzgi						the twenty (tram)			
de Foifer						the five (bus)			
de Znüni	de Znüüni	s Znüni				the morning snack			
de Zvieri	d Zviäri					the afternoon snack			
Am viertel ab zwölfi isster Zmittag.			Um viertel nach zwölf isst er zu Mittag.			At quarter past twelve, he eats lunch.			
zwüsched zwölf und ais			zwischen zwölf und eins			between twelve (o'clock) and one (o'clock)			
vom achti bis am nüni			von acht bis neun Uhr			from eight o'clock until nine o'clock			
Wiä läbsch?	Wie lebsch?		Wie geht's?			How are you?	How's it going?		
hoi						hello	hi		
hoi zäme						hello (to more than one person)			
grüezi						hello	greetings		
grüezi mitenand						hello (to more than one person)	greetings (to more than one person)		
salut						hi			
en Guete			guten Appetit			bon appetit			
märsi vilmal			vielen dank			thank you very much			
sorry						excuse me			
ade									
Uf widerluege!			Auf wiedersehen!			Goodbye!			
Hör uf!			Hör auf!			Stop it!			
Ich ha chalt.	Ich ha kalt.		Es ist mir kalt.			I'm (feeling) cold.			
ich hät gärn			Ich möchte			I would like (to order)			
i de Nöchi			in der Nähe			nearby			
Was triibsch?						What's up?			
im Uusgang gaa						to go out (on the town)			
Was isch für Ziit?			Wie Uhr ist es?			What time is it?			
Ich chume grad.			Ich komm gleich.			I'm coming right away.			
äbä			eben						
hei gaa	hei gah	hai gah	nach hause gehen			to go home			
dihei	dihai		zuhause			at home			
morn			morgen			tomorrow			
am morge			am morgen			in the morning			
spöter			spater			later			
Ich schaffe z Züri.			Ich arbeite in Zürich.			I work in Zurich.			
Ich bin uf de Wält cho	Ich bin gebore		Ich bin geboren			I was born			
wüki			wirklich			really			
de Mäntig						the Monday			
de Zieschtig						the Tuesday			
de Mittwuch						the Wednesday			
de Dunschtig						the Thursday			
de Friitig						the Friday			
de Samschtig						the Saturday			
de Sunntig						the Sunday			
am Sunntig						on Sunday			
d Zää			die Zähne			the teeth			
s Muul			der Mund			the mouth			
de Öpfel			das Apfel			the apple			
de Härdöpfel	de Herdöpfel		der Kartoffel			the potato			
s Epeeri			die Erdbeere			the strawberry			
d Bire	d Pire		die Birne			the pear			
d Fraue			die Frauen			the women			
d Bäum			die Bäume			the trees			
d Büecher			die Bücher			the books			
d Lampene	d Lampe		die Lampen			the lamps			
s Gipfeli						the (small) croissant			
es Bitzli			ein Bisschen			a little bit			
s Büsi	d Chatz		die Katze			the cat			
s Guetzli			die Kekse			the cookie			
s Zahni						the dentist			
d Ufzgi			die Hausaufgaben			the homework			
de Kinski	de Chindsgi		der Kindergarten			the kindergarten			
de Flohmi	de Flohmärt		der Flohmarkt			the flea market			
d Chilbi			die Kirchweih			the Kermesse	the (particular kind of Germanic) outdoor fun festival		
d Schoggi						the chocolate			
s Schoggeli						the piece of chocolate			
da			hier			here			
det	dete		da			there			
det äne			da drüben			over there			
de Bueb						the boy			
d Peperoni			die Paprika			the bell pepper	the capsicum (pepper)		
mol	moll	doch	doch			yu-huh	is so	is too	
de Töff			das Motorrad			the motorcycle			
de Anke	d Butter		die Butter			the butter			
de Zmorge			das Frühstuck			breakfast			
de Zmittag			das Mittagessen			the lunch			
de Znacht			das Abendessen			dinner	supper		
d Stange			das kleine Bier			the small beer			
s Schtägehuus			das Treppenhaus			the stairwell	the stairs		
d Büchs	d Dose		die Dose			the can			
d Chile			die Kirche			the church			
d Schtäge			die Treppe			the staircase			
d Stube	Stubä					the parlour	the lounge		
d Beiz			die Kneipe			the bar			
s Ross			das Pferd			the horse			
s Rüebli	s Rüäbli		die Karotte			the carrot			
d Schtube			das Wohnzimmer			the living room			
s Pule	s Poulet		das Hähnchen			the chicken			
s Velo						the (road) bike			
s Portmone	s Portmonnaie		die Brieftasche			the wallet			
s Cheminee	s Schmine		der Kamin			the fireplace			
de Tessär	de Dessert		der Nachtisch	das Dessert		the dessert			
s Glace	s Glasse		das Eis			the ice cream			
s Trottoir						the sidewalk			
sust	susch	suscht	sonst			otherwise			
mer	mä	me	man			one			
Ich bin obe.			Ich bin oben						
Ich bin abe.			Ich bin unten						
Ich gang ufe.									
Ich gang abe.									
Ich bin über de Bode.									
Ich bin under de Bode.									
nüt			nichts			nothing			
nöd			nicht			not			
nüme			nicht mehr			no more	not anymore		
nume	nur		nur			only			
nönig			noch nicht						
niemer	niämer		niemand			nobody			
öppis			etwas			something			
öpper			jemand			someone	somebody		
öppedie						from time to time			
gruusig	grusig		ekelhaft			gross	yucky		
mega									
geil									
fain			lecker			tasty			
mängisch	mängmal		manchmal			sometimes			
